conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,88E+18;Fri Jan 10 06:33:05 +0000 2025;0;Dedi Mulyadi Siap Perbaiki Infrastruktur Jabar dengan Efisiensi Anggaran https://t.co/BPwfDoAXKy;1,88E+18;;;in;;0;0;0;https://x.com/Jatinangorku/status/1877604558505128222;226686640;Jatinangorku
1,88E+18;Fri Jan 10 03:12:49 +0000 2025;0;Selain itu Menko juga menginstruksikan agar efisiensi anggaran terus dioptimalkan termasuk dalam perjalanan dinas dan pelaksanaan program-program yang berdampak langsung pada pelayanan publik.;1,88E+18;;bapassolo;in;;0;1;0;https://x.com/bapassolo/status/1877554158389125615;2545096663;bapassolo
1,88E+18;Fri Jan 10 02:55:29 +0000 2025;0;EFISIENSI ANGGARAN DUKUNG PROGRAM MAKAN BERGIZI GRATIS - NEWS POINT https://t.co/Ja5w48To0R #makansiangbergizi #makanbergizigratis #efisiensianggaran;1,88E+18;;;in;;0;0;0;https://x.com/UBTV_Brawijaya/status/1877549797504340253;2316596480;UBTV_Brawijaya
1,88E+18;Thu Jan 09 16:53:53 +0000 2025;0;@LazadaID Harapan 2025 bisa : Rutin sedekah Emas keping bertambah Menikah Efisiensi anggaran bulanan Sehat jasmani &amp;;;;;;;;;;;
1,88E+18;Thu Jan 09 16:53:10 +0000 2025;0;@LazadaID Harapan 2025 bisa : Rutin sedekah Emas keping bertambah Menikah Efisiensi anggaran bulanan Sehat jasmani &amp;;;;;;;;;;;
1,88E+18;Thu Jan 09 15:37:50 +0000 2025;0;@DivHumas_Polri Salut atas komitmen bersama Polri dan KPK untuk efisiensi anggaran negara dan pemberantasan korupsi.;1,88E+18;;DivHumas_Polri;in;;0;0;0;https://x.com/bykeyravania/status/1877379259439919256;1,34E+18;bykeyravania
1,88E+18;Thu Jan 09 14:43:32 +0000 2025;1153;@_haye_ Ngmong efisiensi tapi kabinet gemuk aja udah aneh. Anggaran luar biasa itu dikeluarin pemerintah demi kabinet yg dipecah2.;1,88E+18;;_haye_;in;;3;3;67;https://x.com/bekasjutawan/status/1877365596897136863;93312464;bekasjutawan
1,88E+18;Thu Jan 09 13:19:52 +0000 2025;0;🇮🇩 Ide cemerlang Presiden Prabowo: Kampung Haji untuk jamaah Indonesia di Arab Saudi! Mempermudah pelayanan menghemat anggaran &amp;;;;;;;;;;;
1,88E+18;Thu Jan 09 11:45:46 +0000 2025;117;Assalamu alaikum Sahabat Syariah! Mengatur keuangan bisnis jadi lebih mudah dengan metode budgeting yang tepat! Pilih pendekatan yang paling sesuai dengan kebutuhan usaha kamu: apakah fokus pada efisiensi target atau aktivitas spesifik? Jangan biarkan anggaran jadi https://t.co/c4GL9tY8Yl;1,88E+18;https://pbs.twimg.com/media/Gg2VXkPaMAAFV_g.jpg;;in;;1;11;32;https://x.com/bankbsi_id/status/1877320861038031177;141500996;bankbsi_id
1,88E+18;Thu Jan 09 10:12:22 +0000 2025;0;@Ganda_waras @DokterTifa @prabowo Genjot penerimaan negara dong efisiensi anggaran &amp;;;;;;;;;;;
1,88E+18;Thu Jan 09 08:48:34 +0000 2025;0;@StefanAntonio__ @prabowo Efisiensi kasihkan ke sekolah duitnya Buat dapur umum di sekolah hemat anggaran operasional Satu dapur harus beli 10 unit+ mobil untuk mondar mandir;1,88E+18;;StefanAntonio__;in;;0;0;0;https://x.com/Bang_mamatCs/status/1877276264479731925;1,51E+18;Bang_mamatCs
1,88E+18;Thu Jan 09 06:56:23 +0000 2025;0;Mendagri dan Kepala BPPIK Gelar Rapat Terbatas Bahas Efisiensi Penggunaan Anggaran di Pemda https://t.co/p1Yu1ss6Bp;1,88E+18;;;in;;0;0;0;https://x.com/FBN_Net/status/1877248034393760131;1,11E+18;FBN_Net
1,88E+18;Thu Jan 09 04:05:33 +0000 2025;0;Selanjutnya Dasco juga menyampaikan demi melakukan efisiensi anggaran dengan melakukan hal-hal kecil yang manfaatn https://t.co/JK3vI5zezt;1,88E+18;;;in;;0;0;0;https://x.com/Partai_Gerindra/status/1877205042735788205;381680827;Partai_Gerindra
1,88E+18;Thu Jan 09 02:42:25 +0000 2025;0;2. Se efisiensi blanja penunjang yg lebi gede dari blanja pokoknya. Ini lebih menghimbau. Silakan lakukan pergeseran anggaran.;1,88E+18;;fauzi_badarudin;in;;0;0;0;https://x.com/fauzi_badarudin/status/1877184119941018094;211759522;fauzi_badarudin
1,88E+18;Thu Jan 09 02:14:52 +0000 2025;0;Negara ini boros luar biasa cuma untuk bayarin fasilitas segelintir pihak Kalau ada effort riil untuk melakukan efisiensi kemungkinan bisa surplus 30% dari anggaran;1,88E+18;;;in;;0;1;0;https://x.com/waterfund_/status/1877177189247934722;258701572;waterfund_
1,88E+18;Wed Jan 08 20:04:50 +0000 2025;0;Kami cinta pak Prabowo sgt efisiensi dalam hal anggaran. Semoga program makan bergizi gratis segera di evaluasi;1,88E+18;;;in;;0;0;0;https://x.com/ternamasedunia/status/1877084065599311952;1,78E+18;ternamasedunia
1,88E+18;Wed Jan 08 15:40:26 +0000 2025;0;@democrazymedia Kalo gitu mending bubarin aja!!!!! Efisiensi anggaran bukan?;1,88E+18;;democrazymedia;in;;0;0;0;https://x.com/QSunter/status/1877017527718432793;1,22E+18;QSunter
1,88E+18;Wed Jan 08 15:07:39 +0000 2025;0;Selanjutnya Dasco juga menyampaikan demi melakukan efisiensi anggaran dengan melakukan hal-hal kecil yang manfaatn https://t.co/JK3vI5zezt;1,88E+18;;;in;;0;0;0;https://x.com/Partai_Gerindra/status/1877009278818525568;381680827;Partai_Gerindra
1,88E+18;Wed Jan 08 14:33:36 +0000 2025;0;Dampak Negatif 1. Ketergantungan Bantuan Jika tidak dikelola dengan baik program populis bisa menciptakan ketergantungan masyarakat pada bantuan pemerintah tanpa mendorong kemandirian. 2. Efisiensi Anggaran Program populis sering kali membutuhkan anggaran besar yang jika tidak;1,88E+18;;Pooohpitu7;in;;0;0;0;https://x.com/Pooohpitu7/status/1877000709478207919;1,37E+18;Pooohpitu7
1,88E+18;Wed Jan 08 14:33:34 +0000 2025;0;Dampak Negatif 1. Ketergantungan Bantuan Jika tidak dikelola dengan baik program populis bisa menciptakan ketergantungan masyarakat pada bantuan pemerintah tanpa mendorong kemandirian. 2. Efisiensi Anggaran Program populis sering kali membutuhkan anggaran besar yang jika tidak;1,88E+18;;Pooohpitu7;in;;0;0;0;https://x.com/Pooohpitu7/status/1877000700393381933;1,37E+18;Pooohpitu7
1,88E+18;Wed Jan 08 14:29:26 +0000 2025;4;Selanjutnya Dasco juga menyampaikan demi melakukan efisiensi anggaran dengan melakukan hal-hal kecil yang manfaatnya dapat dirasakan oleh masyarakat Indonesia.;1,88E+18;;Gerindra;in;;0;3;0;https://x.com/Gerindra/status/1876999660319002799;397673651;Gerindra
1,88E+18;Wed Jan 08 09:04:57 +0000 2025;0;Pemerintah turunkan biaya haji 2025! Penurunan ini berkat efisiensi anggaran &amp;;;;;;;;;;;
1,88E+18;Wed Jan 08 06:50:33 +0000 2025;0;Tingkatkan Efisiensi Anggaran Lapas Narkotika Bandung Matangkan Rencana DIPA 2025 #Kemenimipas #lpnbandung https://t.co/bDVytPGSNU;1,88E+18;;;in;;0;0;0;https://x.com/lpnbandung/status/1876884177896763562;1,61E+18;lpnbandung
1,88E+18;Wed Jan 08 06:21:20 +0000 2025;3;Hal itu kata Dasco tidak sejalan dengan rencana Presiden Prabowo Subianto yang tengah melakukan efisiensi anggaran di berbagai kementerian dan lembaga. Prabowo juga tengah mengevaluasi Proyek Strategis Nasional (PSN) yang dinilai tidak menguntungkan perekonomian Indonesia.;1,88E+18;;asumsico;in;;0;1;0;https://x.com/asumsico/status/1876876823922958539;8,29E+17;asumsico
1,88E+18;Wed Jan 08 05:54:16 +0000 2025;0;@AdindaZahrany07 @prabowo Menyalaaah @prabowo @Gerindra yg mau lakukan efisiensi..wkwkwkwkwkwmakan tuh joget gemoy. anggaran negara jeboooooooolllll;1,88E+18;;AdindaZahrany07;in;;0;0;0;https://x.com/SotoAyam1970/status/1876870014667563218;1,59E+18;SotoAyam1970
1,88E+18;Wed Jan 08 05:37:47 +0000 2025;0;Program makan bergizi gratis itu baik malah sangat baik. Hanya saja menentukan sasarannya harus tepat karena bisa jadi malah gak efisien. Bukannya mau efisiensi anggaran?;1,88E+18;;;in;;0;1;0;https://x.com/indragunartono/status/1876865866463138225;153009033;indragunartono
1,88E+18;Wed Jan 08 04:57:23 +0000 2025;0;@CNNIndonesia Efisiensi Anggaran... Katanya...;1,88E+18;;CNNIndonesia;in;;0;0;0;https://x.com/JendIsMyName__/status/1876855696781631642;455393011;JendIsMyName__
